test_id,planning_time_baseplan,execution_time_baseplan,planning_time_implan,execution_time_implan
test_1,0.00854,0.486003,0.034286,0.463874
test_9,0.005926,39.988506,9.101291,21.896039
test_3,0.018048,20.980563,0.130688,5.366236
test_7,0.009168,14.975822,0.103734,5.390644
test_4,0.006113,10.488566,0.114103,31.882161
test_6,0.025584,14.977693,18.624507,14.374649
test_2,0.00617,20.988668,3.343679,20.652102
test_0,0.018522,9.981413,3.427736,9.566724
test_5,0.009591,6.980687,0.061274,2.935345
,0.0119624444,15.5386578889,3.8823664444,12.503086
