test_id,planning_time_ant_multi,execution_time_ant_mult,planning_time_metric_ff,execution_time_metric_ff,planning_time_baseplan,execution_time_baseplan,cost_ant_multi,cost_metric_ff,cost_baseplan,
test_0,1.865919,9.134821,0,0,0.012316,10.48841,13,-1,8.75,3.5
test_1,7.806919,15.690037,3.037424,16.500039,0.012544,63.482409,15,13,82.5,33
test_2,21.022436,13.970917,0,0,0.00477,13.492598,15,-1,12.5,5
test_3,0,30.190228,22.153409,84.918494,0.012538,263.982389,46,53,237.5,95
test_4,1.32033,11.177018,3.008603,10.986868,0.006725,10.987518,9,7,5,2
test_5,1.792764,10.703103,3.232368,11.266035,0.005157,472.49155,13,10,187.5,75
test_6,9.427972,10.064917,3.958218,11.537958,0.006912,10.999346,19,16,12.5,5
test_7,0,14.496908,3.998728,17.995345,0.00761,163.47645,37,23,7.5,3
test_8,1.762599,8.232879,3.492678,10.005521,0.008069,7.984823,12,10,10,4
test_9,19.727649,20.2729,5.529495,21.458792,0.005467,338.995151,56,42,200,80
,6.4726588,14.3933728,4.8410923,18.4669052,0.0082108,135.6380644,23.5,17.2,76.375,
,8.0908235,,6.051365375,,,,,21.75,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0 = timeouts,,,,,,,,,
