test_id,planning_time_ant_multi,execution_time_ant_mult,planning_time_metric_ff,execution_time_metric_ff,planning_time_baseplan,execution_time_baseplan,cot_ant_multi,cost_metricc_ff,cost_baseplan,
test_0,23.324874,5.650597,3.730999,7.24943,0.015076,5.976461,4,5,3.75,1.5
test_1,259.254607,12.745137,19.94509,67.046052,0.005946,24.999949,113,34,28.75,11.5
test_2,55.929427,9.061413,4.364471,10.131225,0.010819,10.476303,16,5,12.5,5
test_3,53.179973,10.817085,4.607716,11.38835,0.006445,9.490229,20,10,12.5,5
test_4,127.187827,308.306528,3.776247,9.720423,0.01344,17.479822,21,3,12.5,5
test_5,22.442014,12.554532,4.042337,13.95014,0.004803,12.491644,12,8,5,2
test_6,35.2491,6.249414,4.138592,9.85593,0.015003,6.982096,6,7,7.5,3
test_7,6.377426,7.611472,3.609923,20.888278,0.006809,11.983442,3,2,7.5,3
test_8,329.938942,26.057993,11.011946,29.482859,0.005425,19.48341,24,15,12.5,5
test_9,33.397993,11.596221,3.841269,10.64794,0.006151,8.489,7,8,7.5,3
,94.6282183,41.0650392,6.306859,19.0360627,0.0089917,12.7852356,22.6,9.7,11,
