test_id,planning_time_ant_multi,execution_time_ant_mult,planning_time_metric_ff,execution_time_metric_ff,planning_time_baseplan,execution_time_baseplan
test_5,1.792764,10.703103,3.232368,11.266035,0.006186,235.995885
test_3,471.80873,30.190228,22.153409,84.918494,0.016748,176.98077
test_2,21.022436,13.970917,0,0,0.007902,10.987202
test_0,1.865919,9.134821,0,0,0.012813,33.988087
test_8,1.762599,8.232879,3.492678,10.005521,0.009706,181.985655
test_9,19.727649,20.2729,5.529495,21.458792,0.015364,11.982666
test_7,261.496322,14.496908,3.998728,17.995345,0.006148,11.990289
test_4,1.32033,11.177018,3.008603,10.986868,0.005611,163.991023
test_1,7.806919,15.690037,3.037424,16.500039,0.014128,62.980221
test_6,9.427972,10.064917,3.958218,11.537958,0.008521,28.980604
